index,Jv,Ja,rmse_prof,nse_prof,VHOD
6,0.001,0.6010000000000001,0.742454690952408,0.9591117582564259,0.2925443796566246
7,0.001,0.7010000000000001,0.7098477049657833,0.9626243383455111,0.34105425979915777
8,0.001,0.801,0.695720895283928,0.9640971752768346,0.389564139941691
9,0.001,0.901,0.697680903859501,0.963894597004478,0.43807402008422414
10,0.001,1.001,0.7128358347826728,0.9623090076182093,0.4865839002267573
11,0.001,1.101,0.7380779629780533,0.959592405072567,0.5350937803692906
23,0.101,0.501,0.7174131961487178,0.961823400117227,0.3440344995140914
24,0.101,0.6010000000000001,0.6991334314503418,0.9637441021682707,0.3925443796566246
25,0.101,0.7010000000000001,0.6976079251170139,0.9639021499963512,0.4410542597991578
26,0.101,0.801,0.7101809175579724,0.9625892407772034,0.489564139941691
27,0.101,0.901,0.7336058735172292,0.9600805890565934,0.5380740200842241
39,0.201,0.30100000000000005,0.7268655051247137,0.9608107779256835,0.347014739229025
40,0.201,0.401,0.7037702565491027,0.9632615913043862,0.39552461937155814
41,0.201,0.501,0.6985564770809792,0.9638039172665669,0.44403449951409135
42,0.201,0.6010000000000001,0.7082137462218306,0.9627962062028066,0.4925443796566246
43,0.201,0.7010000000000001,0.7294688503028035,0.9605295545775505,0.5410542597991578
55,0.30100000000000005,0.101,0.7383110982300706,0.9595668741040064,0.3499949789439586
56,0.30100000000000005,0.201,0.70991983758996,0.9626167419511955,0.3985048590864918
57,0.30100000000000005,0.30100000000000005,0.7006773420076218,0.9635837960887061,0.447014739229025
58,0.30100000000000005,0.401,0.7070990011504422,0.962913233319141,0.49552461937155823
59,0.30100000000000005,0.501,0.7259826265781584,0.9609059215536403,0.5440344995140913
72,0.401,0.001,0.7178735783023544,0.9617743866204242,0.40148509880142536
73,0.401,0.101,0.7041195594396021,0.9632251134427671,0.44999497894395857
74,0.401,0.201,0.7069603446229688,0.9629277767369381,0.4985048590864918
75,0.401,0.30100000000000005,0.7230893162640128,0.9612169094505782,0.547014739229025
76,0.401,0.401,0.7493026262727903,0.9583540249956609,0.5955246193715582
90,0.501,0.001,0.707949945306456,0.9628239169526775,0.5014850988014253
91,0.501,0.101,0.7210229536584568,0.9614382525650248,0.5499949789439585
92,0.501,0.201,0.745005301399669,0.9588303427965065,0.5985048590864918
108,0.6010000000000001,0.001,0.7413247480204366,0.9592361193072648,0.6014850988014254
