Z_m,thickness,V_r_m,A_l_m,As_up_bndr_m,As_lo_bndr_m,Vcum_m
-1.0,1.25,28137500.0,1431250.0,23670000.0,22238750.0,185352500.0
-1.5,0.5,11255000.0,572500.0,22238750.0,21666250.0,174097500.0
-2.0,0.5,10672500.0,583750.0,21666250.0,21082500.0,163425000.0
-2.5,0.5,10090000.0,595000.0,21082500.0,20487500.0,153335000.0
-3.0,0.5,10090000.0,595000.0,20487500.0,19892500.0,143245000.0
-3.5,0.5,10090000.0,595000.0,19892500.0,19297500.0,133155000.0
-4.0,0.5,9491250.0,598750.0,19297500.0,18698750.0,123663750.0
-4.5,0.5,8892500.0,602500.0,18698750.0,18096250.0,114771250.0
-5.0,0.5,8892500.0,602500.0,18096250.0,17493750.0,105878750.0
-5.5,0.5,8892500.0,602500.0,17493750.0,16891250.0,96986250.0
-6.0,0.5,8290000.0,602500.0,16891250.0,16288750.0,88696250.0
-6.5,0.5,7687500.0,602500.0,16288750.0,15686250.0,81008750.0
-7.0,0.5,7687500.0,602500.0,15686250.0,15083750.0,73321250.0
-7.5,0.5,7687500.0,602500.0,15083750.0,14481250.0,65633750.0
-8.0,0.5,7065000.0,622500.0,14481250.0,13858750.0,58568750.0
-8.5,0.5,6442500.0,642500.0,13858750.0,13216250.0,52126250.0
-9.0,0.5,6442500.0,642500.0,13216250.0,12573750.0,45683750.0
-9.5,0.5,6442500.0,642500.0,12573750.0,11931250.0,39241250.0
-10.0,0.5,5597500.0,846250.0,11931250.0,11085000.0,33643750.0
-10.5,0.5,4752500.0,1050000.0,11085000.0,10035000.0,28891250.0
-11.0,0.5,4752500.0,1050000.0,10035000.0,8985000.0,24138750.0
-11.5,0.5,4752500.0,1050000.0,8985000.0,7935000.0,19386250.0
-12.0,0.5,3703750.0,1048750.0,7935000.0,6886250.0,15682500.0
-12.5,0.5,2655000.0,1047500.0,6886250.0,5838750.0,13027500.0
-13.0,0.5,2655000.0,1047500.0,5838750.0,4791250.0,10372500.0
-13.5,0.5,2655000.0,1047500.0,4791250.0,3743750.0,7717500.0
-14.0,0.5,1907500.0,748750.0,3743750.0,2995000.0,5810000.0
-14.5,0.5,1160000.0,450000.0,2995000.0,2545000.0,4650000.0
-15.0,0.5,1160000.0,450000.0,2545000.0,2095000.0,3490000.0
-15.5,0.5,1160000.0,450000.0,2095000.0,1645000.0,2330000.0
-16.0,0.5,777500.0,382500.0,1645000.0,1262500.0,1552500.0
-16.5,0.5,395000.0,315000.0,1262500.0,947500.0,1157500.0
-17.0,4.25,1157500.0,947500.0,947500.0,0.0,0.0
